TEAM,YEAR,IS_CHAMP,WIN%,PTS,FGM,DREB,NETRTG,PIE,REB%,FGA_RANK,3PM_RANK,FTM_RANK,FT%_RANK,OREB_RANK,BLKA_RANK,PF_RANK
Atlanta Hawks,2012,0,0.537,98.0,37.6,31.6,0.3,50.9,48.2,22,5,28,26,27,25,28
Utah Jazz,2012,0,0.524,98.0,37.1,30.0,-0.2,50.4,51.0,12,23,10,12,8,7,3
Boston Celtics,2012,0,0.506,96.5,37.0,31.3,-0.5,50.7,47.7,28,25,19,6,30,20,4
Dallas Mavericks,2012,0,0.5,101.1,38.8,32.6,-0.6,50.2,48.4,8,11,20,2,26,27,8
Milwaukee Bucks,2012,0,0.463,98.9,38.1,30.9,-1.7,48.8,49.1,1,14,26,22,2,22,21
Philadelphia 76ers,2012,0,0.415,93.2,37.3,30.4,-3.7,47.4,48.9,7,21,30,25,19,19,25
Toronto Raptors,2012,0,0.415,97.2,36.3,29.6,-1.4,48.4,49.0,18,15,8,5,24,21,1
Portland Trail Blazers,2012,0,0.402,97.5,36.7,30.2,-3.4,46.8,49.5,11,6,22,7,23,23,24
Minnesota Timberwolves,2012,0,0.378,95.7,35.9,30.2,-2.2,49.4,50.0,14,28,5,21,11,8,26
Detroit Pistons,2012,0,0.354,94.9,36.3,30.0,-4.5,46.7,50.6,23,22,23,29,9,10,18
Washington Wizards,2012,0,0.354,93.2,35.5,32.3,-2.3,48.1,49.1,16,18,24,23,22,24,11
Sacramento Kings,2012,0,0.341,100.2,37.6,29.1,-4.7,45.4,48.5,4,12,11,11,14,4,7
New Orleans Hornets,2012,0,0.329,94.1,36.0,29.6,-4.4,46.4,51.4,26,19,25,8,10,6,12
Phoenix Suns,2012,0,0.305,95.2,37.3,29.9,-6.7,45.8,49.1,3,26,27,20,12,14,9
Cleveland Cavaliers,2012,0,0.293,96.5,36.5,28.8,-5.0,45.0,50.0,5,17,14,14,7,3,5
Charlotte Bobcats,2012,0,0.256,93.4,34.4,29.1,-9.9,43.8,48.6,20,27,4,18,16,1,22
Orlando Magic,2012,0,0.244,94.1,37.7,31.9,-7.4,45.9,49.8,6,24,29,15,20,13,20
San Antonio Spurs,2013,1,0.756,105.4,40.6,34.0,8.1,55.5,50.3,12,12,27,4,26,16,29
Oklahoma City Thunder,2013,0,0.72,106.2,39.0,33.9,6.4,54.3,51.8,14,14,5,2,18,26,3
Los Angeles Clippers,2013,0,0.695,107.9,39.1,32.5,7.3,54.8,49.6,16,13,3,26,21,27,11
Indiana Pacers,2013,0,0.683,96.7,36.0,34.5,4.7,54.5,51.7,27,22,12,7,22,17,16
Houston Rockets,2013,0,0.659,107.7,38.0,34.1,4.6,53.4,51.3,26,1,1,28,15,4,17
Miami Heat,2013,0,0.659,102.2,38.3,29.2,5.1,53.9,47.6,30,15,15,14,30,30,23
Portland Trail Blazers,2013,0,0.659,106.7,39.1,34.0,4.2,52.4,51.7,3,2,7,1,2,25,24
Golden State Warriors,2013,0,0.622,104.3,39.5,34.4,4.9,52.8,50.8,6,3,25,18,17,21,9
Memphis Grizzlies,2013,0,0.61,96.1,38.1,30.8,1.7,51.8,52.1,22,30,30,23,9,11,26
Dallas Mavericks,2013,0,0.598,104.8,39.6,30.7,2.3,52.1,48.7,11,8,20,3,23,28,20
Chicago Bulls,2013,0,0.585,93.7,34.7,32.7,1.9,52.8,51.8,28,26,13,8,11,3,27
Phoenix Suns,2013,0,0.585,105.2,38.7,31.7,2.6,50.9,50.0,13,6,9,16,14,23,8
Toronto Raptors,2013,0,0.585,101.3,36.5,31.1,3.3,51.2,50.5,23,9,6,5,12,19,1
Brooklyn Nets,2013,0,0.537,98.5,35.7,29.4,-1.3,49.2,47.5,29,10,10,19,28,22,10
Washington Wizards,2013,0,0.537,100.7,38.7,31.4,1.3,50.4,49.8,9,16,29,25,19,24,18
Charlotte Bobcats,2013,0,0.524,96.9,36.3,33.2,-0.4,50.8,50.0,21,25,14,24,25,10,30
Minnesota Timberwolves,2013,0,0.488,106.9,38.9,32.2,2.6,51.9,50.8,1,17,2,9,3,5,28
Atlanta Hawks,2013,0,0.463,101.0,37.3,31.3,-0.7,50.2,48.5,24,4,17,6,29,20,25
New York Knicks,2013,0,0.451,98.6,36.9,29.7,-1.1,49.0,49.2,19,7,28,13,20,29,7
Denver Nuggets,2013,0,0.439,104.4,38.4,33.1,-2.2,48.1,50.5,5,11,8,27,4,6,2
New Orleans Pelicans,2013,0,0.415,99.7,37.8,30.3,-3.0,48.3,49.7,17,29,11,11,13,2,4
Cleveland Cavaliers,2013,0,0.402,98.2,37.0,32.1,-3.6,46.9,50.8,8,18,18,20,5,7,21
Detroit Pistons,2013,0,0.354,101.0,38.8,30.8,-3.7,46.4,51.1,4,27,16,30,1,13,19
Sacramento Kings,2013,0,0.341,100.5,36.9,32.4,-2.7,47.3,51.8,18,28,4,15,6,8,5
Los Angeles Lakers,2013,0,0.329,103.0,38.3,32.0,-6.0,46.0,45.9,7,5,19,17,27,15,22
Boston Celtics,2013,0,0.305,96.2,36.5,30.5,-4.6,46.1,50.5,10,19,24,10,7,18,12
Utah Jazz,2013,0,0.305,95.0,36.0,30.2,-7.6,45.1,49.7,25,24,23,21,16,14,14
Orlando Magic,2013,0,0.28,96.5,36.9,32.4,-5.7,46.6,49.0,15,21,26,12,24,9,15
Philadelphia 76ers,2013,0,0.232,99.5,37.9,31.2,-10.0,42.6,47.9,2,20,22,29,10,1,6
Milwaukee Bucks,2013,0,0.183,95.5,36.0,29.3,-8.3,44.9,49.0,20,23,21,22,8,12,13
Golden State Warriors,2014,1,0.817,110.0,41.6,34.3,9.9,56.9,49.8,3,2,23,9,21,28,18
Atlanta Hawks,2014,0,0.732,102.5,38.1,31.8,5.9,54.0,48.7,27,5,19,5,30,13,30
Houston Rockets,2014,0,0.683,103.9,37.0,32.0,3.4,50.9,49.6,12,1,5,27,6,9,4
Los Angeles Clippers,2014,0,0.683,106.7,39.4,33.1,6.9,54.0,49.7,13,3,7,28,28,30,7
Memphis Grizzlies,2014,0,0.671,98.3,37.8,32.1,3.5,53.0,50.3,23,29,10,7,22,11,22
San Antonio Spurs,2014,0,0.671,103.2,39.1,33.8,6.3,54.5,50.7,11,12,16,4,27,22,23
Cleveland Cavaliers,2014,0,0.646,103.1,37.7,31.9,4.8,51.4,51.3,24,4,9,17,11,20,26
Portland Trail Blazers,2014,0,0.622,102.8,38.7,35.1,4.3,52.2,51.0,5,6,27,1,15,29,27
Chicago Bulls,2014,0,0.61,100.8,36.6,34.0,3.0,52.9,51.6,18,15,3,3,7,6,28
Dallas Mavericks,2014,0,0.61,105.2,39.7,31.8,3.2,52.1,47.7,6,7,15,16,19,27,16
Toronto Raptors,2014,0,0.598,104.0,37.9,30.8,3.1,50.6,49.4,14,8,4,2,16,12,12
Washington Wizards,2014,0,0.561,98.5,38.3,34.2,0.6,52.5,51.4,20,26,25,21,20,24,14
New Orleans Pelicans,2014,0,0.549,99.4,37.9,32.0,0.8,50.8,51.1,19,19,20,18,10,3,25
Oklahoma City Thunder,2014,0,0.549,104.0,38.8,34.7,2.1,50.5,52.4,4,16,6,14,1,19,2
Milwaukee Bucks,2014,0,0.5,97.8,37.6,31.4,0.6,51.1,49.1,25,23,24,12,17,14,3
Boston Celtics,2014,0,0.488,101.4,38.9,32.7,0.3,49.8,49.5,1,13,28,15,12,10,9
Phoenix Suns,2014,0,0.476,102.4,38.8,32.2,-1.1,49.1,48.9,7,10,21,11,13,26,8
Brooklyn Nets,2014,0,0.463,98.0,37.4,32.0,-3.0,48.0,49.1,17,24,18,19,24,21,19
Indiana Pacers,2014,0,0.463,97.3,36.6,34.4,0.2,50.5,51.1,15,17,17,13,23,17,10
Utah Jazz,2014,0,0.463,95.1,35.4,31.9,0.1,50.7,52.4,29,18,13,26,4,18,20
Miami Heat,2014,0,0.451,94.7,35.2,30.0,-3.0,49.2,48.9,30,20,11,22,29,23,17
Charlotte Hornets,2014,0,0.402,94.2,35.5,34.1,-3.4,48.2,50.2,10,27,14,20,25,7,29
Detroit Pistons,2014,0,0.39,98.5,37.1,32.1,-1.1,47.8,50.5,8,9,26,29,2,15,24
Denver Nuggets,2014,0,0.366,101.5,37.8,32.4,-3.3,46.5,49.4,2,14,8,24,3,2,1
Sacramento Kings,2014,0,0.354,101.3,36.7,33.3,-3.7,48.5,51.9,28,28,1,10,14,1,15
Orlando Magic,2014,0,0.305,95.7,37.5,31.8,-5.9,45.5,49.1,21,21,30,25,26,8,13
Los Angeles Lakers,2014,0,0.256,98.5,37.2,32.3,-7.1,45.0,49.7,9,25,12,23,8,16,11
Philadelphia 76ers,2014,0,0.22,92.0,33.7,30.9,-9.0,42.6,48.0,22,11,22,30,5,4,5
New York Knicks,2014,0,0.207,91.9,35.1,29.8,-10.1,44.1,48.4,26,22,29,8,18,25,6
Minnesota Timberwolves,2014,0,0.195,97.8,36.4,29.3,-9.1,45.3,48.9,16,30,2,6,9,5,21
Golden State Warriors,2015,0,0.89,114.9,42.5,36.2,10.6,56.7,50.7,3,1,22,16,20,27,11
San Antonio Spurs,2015,0,0.817,103.5,40.1,34.5,11.1,57.8,51.6,24,25,25,2,25,29,30
Cleveland Cavaliers,2015,1,0.695,104.3,38.7,33.9,6.3,52.8,51.9,19,2,26,21,12,23,17
Toronto Raptors,2015,0,0.683,102.7,36.7,33.2,4.4,52.5,52.0,28,13,2,12,19,11,22
Oklahoma City Thunder,2015,0,0.671,110.2,41.1,35.6,7.4,54.6,54.1,5,17,4,10,1,20,15
LA Clippers,2015,0,0.646,104.5,38.3,33.3,4.5,53.3,47.2,25,8,11,29,29,30,7
Atlanta Hawks,2015,0,0.585,102.8,38.6,33.8,3.9,52.8,47.4,15,6,29,8,30,17,24
Boston Celtics,2015,0,0.585,105.7,39.2,33.3,3.3,52.0,49.5,1,12,8,6,3,7,2
Charlotte Hornets,2015,0,0.585,103.4,37.0,35.0,2.7,51.1,49.9,16,4,7,5,28,8,28
Miami Heat,2015,0,0.585,100.0,38.4,34.3,1.7,52.5,51.2,27,27,18,23,22,28,27
Indiana Pacers,2015,0,0.549,102.2,38.3,33.9,1.6,51.8,49.4,13,18,14,15,17,21,20
Detroit Pistons,2015,0,0.537,102.0,37.9,33.9,0.3,48.6,52.1,6,10,19,30,2,22,25
Portland Trail Blazers,2015,0,0.537,105.1,38.6,33.9,0.8,49.3,51.0,8,5,15,19,4,13,4
Chicago Bulls,2015,0,0.512,101.6,38.6,35.2,-1.4,49.4,50.6,2,21,23,7,9,2,26
Dallas Mavericks,2015,0,0.512,102.3,37.4,33.9,-0.4,50.3,48.4,18,7,12,3,26,24,23
Memphis Grizzlies,2015,0,0.512,99.1,36.8,30.5,-2.4,48.3,49.5,22,28,5,9,8,3,5
Houston Rockets,2015,0,0.5,106.5,37.7,31.7,0.0,49.0,49.2,23,3,3,27,7,18,3
Washington Wizards,2015,0,0.5,104.1,39.5,32.8,-0.5,49.7,49.0,10,14,24,25,27,25,10
Utah Jazz,2015,0,0.488,97.7,36.1,32.5,1.8,50.8,51.7,30,16,20,24,10,19,19
Orlando Magic,2015,0,0.427,102.1,39.5,33.0,-1.6,48.8,49.5,4,22,30,17,18,9,12
Denver Nuggets,2015,0,0.402,101.9,37.7,33.1,-3.3,47.9,51.3,12,19,9,14,5,1,8
Milwaukee Bucks,2015,0,0.402,99.0,38.4,31.2,-4.5,48.3,49.0,26,30,21,22,14,5,13
Sacramento Kings,2015,0,0.402,106.6,40.0,33.7,-2.3,49.4,50.0,7,20,10,26,13,12,16
New York Knicks,2015,0,0.39,98.4,36.9,34.0,-2.8,48.7,50.2,20,24,17,1,16,26,21
New Orleans Pelicans,2015,0,0.366,102.7,38.5,33.1,-3.7,47.2,49.3,9,15,16,13,23,14,9
Minnesota Timberwolves,2015,0,0.354,102.4,37.7,31.5,-3.5,49.7,49.4,29,29,1,4,21,15,14
Phoenix Suns,2015,0,0.28,100.9,37.2,33.3,-6.5,45.0,50.8,11,11,13,20,6,10,1
Brooklyn Nets,2015,0,0.256,98.6,38.2,31.9,-7.4,46.0,49.4,17,26,27,18,15,16,29
Los Angeles Lakers,2015,0,0.207,97.3,35.1,32.3,-9.7,42.4,48.4,14,23,6,11,11,6,18
Philadelphia 76ers,2015,0,0.122,97.4,36.2,31.8,-10.2,42.8,46.6,21,9,28,28,24,4,6
Golden State Warriors,2016,1,0.817,115.9,43.1,35.0,11.4,57.9,50.4,8,3,17,9,19,27,19
San Antonio Spurs,2016,0,0.744,105.3,39.3,33.9,7.4,55.1,51.1,24,16,18,7,16,25,24
Houston Rockets,2016,0,0.671,115.3,40.3,33.5,5.7,51.6,49.9,7,1,2,20,9,12,16
Boston Celtics,2016,0,0.646,108.0,38.6,32.9,2.6,51.4,48.5,18,4,9,3,22,8,10
Cleveland Cavaliers,2016,0,0.622,110.3,39.9,34.4,3.1,51.0,49.9,19,2,19,23,21,23,27
LA Clippers,2016,0,0.622,108.7,39.5,34.0,4.4,52.7,50.1,26,9,6,26,23,30,17
Toronto Raptors,2016,0,0.622,106.9,39.2,32.6,4.3,51.6,50.5,21,21,3,8,11,18,8
Utah Jazz,2016,0,0.622,100.7,37.0,33.8,4.3,53.4,51.4,30,13,22,24,20,28,23
Washington Wizards,2016,0,0.598,109.2,41.3,32.6,1.7,51.1,50.1,10,17,20,12,13,19,4
Oklahoma City Thunder,2016,0,0.573,106.6,39.5,34.4,0.8,49.9,52.8,5,26,8,27,1,2,7
Atlanta Hawks,2016,0,0.524,103.2,38.1,34.1,-0.7,50.6,50.2,22,19,13,28,14,9,25
Memphis Grizzlies,2016,0,0.524,100.5,36.4,32.0,0.5,50.1,50.7,25,14,12,13,10,13,2
Indiana Pacers,2016,0,0.512,105.1,39.3,33.0,-0.2,50.5,48.8,20,23,16,2,24,14,18
Milwaukee Bucks,2016,0,0.512,103.6,38.8,31.6,-0.2,50.4,48.7,29,22,21,19,25,20,14
Chicago Bulls,2016,0,0.5,102.9,38.6,34.1,0.3,50.4,51.9,9,28,15,6,2,21,29
Miami Heat,2016,0,0.5,103.2,39.0,33.0,1.0,50.0,49.9,14,12,28,30,12,16,11
Portland Trail Blazers,2016,0,0.5,107.9,39.5,33.5,-0.6,49.3,49.6,13,8,11,14,15,6,5
Denver Nuggets,2016,0,0.488,111.7,41.2,34.6,0.4,50.3,53.2,4,7,10,17,5,17,21
Detroit Pistons,2016,0,0.451,101.3,39.9,34.6,-1.4,48.2,51.9,1,27,30,29,8,26,28
Charlotte Hornets,2016,0,0.439,104.9,37.7,34.8,0.0,50.5,49.6,15,11,4,1,26,3,30
New Orleans Pelicans,2016,0,0.415,104.3,39.1,35.1,-2.1,49.3,48.0,11,15,25,22,29,24,26
Dallas Mavericks,2016,0,0.402,97.9,36.2,30.7,-3.0,47.9,46.5,27,5,29,4,30,29,22
Sacramento Kings,2016,0,0.39,102.8,37.9,32.3,-4.2,47.8,49.2,28,18,14,16,28,10,12
Minnesota Timberwolves,2016,0,0.378,105.6,39.5,31.0,-0.9,50.1,50.7,23,30,7,5,6,15,15
New York Knicks,2016,0,0.378,104.3,39.6,33.2,-3.6,48.2,50.0,2,24,26,10,3,22,13
Orlando Magic,2016,0,0.354,101.1,38.3,33.3,-6.5,46.0,49.1,12,25,27,25,17,11,20
Philadelphia 76ers,2016,0,0.341,102.4,37.7,33.0,-5.5,47.0,49.0,16,10,23,18,18,4,3
Los Angeles Lakers,2016,0,0.317,104.6,39.3,32.1,-6.7,44.6,49.4,6,20,24,21,7,5,9
Phoenix Suns,2016,0,0.293,107.7,39.9,33.1,-5.2,46.2,50.3,3,29,1,15,4,7,1
Brooklyn Nets,2016,0,0.244,105.8,37.8,35.1,-6.5,46.0,48.3,17,6,5,11,27,1,6
Houston Rockets,2017,0,0.793,112.4,38.7,34.5,8.4,53.1,50.3,27,1,2,9,23,25,18
Toronto Raptors,2017,0,0.72,111.7,41.3,34.2,7.7,53.8,50.2,6,4,9,4,14,11,4
Golden State Warriors,2017,1,0.707,113.5,42.8,35.1,5.9,55.4,49.7,24,8,16,1,28,30,15
Boston Celtics,2017,0,0.671,104.0,38.3,35.1,3.6,51.9,50.4,25,6,21,17,20,26,14
Philadelphia 76ers,2017,0,0.634,109.8,40.8,36.5,4.6,54.2,52.0,12,10,11,23,3,8,2
Cleveland Cavaliers,2017,0,0.61,110.9,40.4,33.7,1.0,50.2,49.2,26,3,6,10,27,28,26
Portland Trail Blazers,2017,0,0.598,105.6,39.3,35.3,2.7,51.0,51.3,8,16,15,3,9,9,19
Indiana Pacers,2017,0,0.585,105.6,40.8,32.7,1.3,50.9,49.6,14,25,24,11,16,6,24
New Orleans Pelicans,2017,0,0.585,111.7,42.7,35.6,1.1,52.5,49.4,3,18,19,13,26,27,23
Oklahoma City Thunder,2017,0,0.585,107.9,39.9,32.6,3.7,50.8,51.5,4,15,10,29,1,20,10
Utah Jazz,2017,0,0.585,104.1,38.3,34.2,4.4,53.2,50.9,29,13,13,12,24,21,16
Minnesota Timberwolves,2017,0,0.573,109.5,41.0,31.6,2.3,51.8,50.3,15,30,3,2,7,16,28
San Antonio Spurs,2017,0,0.573,102.7,39.0,33.9,3.0,52.5,50.8,21,28,20,14,6,29,29
Denver Nuggets,2017,0,0.561,110.0,40.7,33.5,1.4,51.1,51.7,13,7,12,18,2,15,25
Miami Heat,2017,0,0.537,103.4,38.8,34.2,0.4,50.5,50.1,23,11,26,22,21,22,11
Milwaukee Bucks,2017,0,0.537,106.5,39.7,31.5,-0.2,50.2,48.0,28,27,5,8,29,23,5
Washington Wizards,2017,0,0.524,106.6,39.9,33.1,0.4,50.9,50.4,19,21,14,15,13,17,6
LA Clippers,2017,0,0.512,109.0,40.3,33.7,0.2,49.7,50.4,22,22,4,26,10,2,12
Detroit Pistons,2017,0,0.476,103.8,39.1,33.6,-0.1,48.9,49.9,9,14,27,25,11,12,27
Charlotte Hornets,2017,0,0.439,108.2,39.0,35.4,-0.1,50.0,51.2,11,19,1,24,12,13,30
Los Angeles Lakers,2017,0,0.427,108.1,40.7,35.7,-1.3,49.1,50.5,2,20,17,30,4,3,7
New York Knicks,2017,0,0.354,104.5,40.7,33.6,-3.4,48.1,50.9,5,29,25,5,5,18,9
Brooklyn Nets,2017,0,0.341,106.6,38.2,34.8,-3.6,47.4,48.9,10,2,8,16,15,4,8
Chicago Bulls,2017,0,0.329,102.9,38.7,35.0,-7.0,45.3,50.0,1,12,28,20,17,7,21
Sacramento Kings,2017,0,0.329,98.8,38.8,31.4,-7.3,45.1,48.9,16,26,30,28,18,19,13
Orlando Magic,2017,0,0.305,103.4,38.8,32.8,-4.7,47.2,48.0,17,17,23,21,25,14,20
Atlanta Hawks,2017,0,0.293,103.4,38.2,32.8,-5.7,46.8,48.9,20,9,22,7,22,5,17
Dallas Mavericks,2017,0,0.293,102.3,38.1,33.1,-2.9,47.5,47.8,18,5,29,19,30,24,22
Memphis Grizzlies,2017,0,0.268,99.3,36.7,31.0,-6.8,46.0,49.3,30,24,18,6,19,10,1
Phoenix Suns,2017,0,0.256,103.9,38.5,33.9,-9.0,44.2,49.3,7,23,7,27,8,1,3
Milwaukee Bucks,2018,0,0.732,118.1,43.4,40.4,8.6,55.3,51.6,6,2,12,14,25,19,26
Toronto Raptors,2018,1,0.707,114.4,42.2,35.6,5.8,53.3,50.2,15,8,15,3,24,23,14
Golden State Warriors,2018,0,0.695,117.7,44.0,36.5,6.5,54.6,50.5,12,3,23,5,21,30,9
Denver Nuggets,2018,0,0.659,110.7,41.9,34.5,4.0,52.4,52.4,11,17,26,20,2,16,24
Houston Rockets,2018,0,0.646,113.9,39.2,31.9,4.8,49.8,48.1,25,1,3,9,14,24,6
Portland Trail Blazers,2018,0,0.646,114.7,42.3,36.2,4.2,52.1,52.6,7,18,5,2,3,11,19
Philadelphia 76ers,2018,0,0.622,115.2,41.5,36.9,2.6,52.9,51.7,20,19,2,16,11,27,11
Utah Jazz,2018,0,0.61,111.7,40.4,36.4,5.0,53.9,52.2,29,9,7,26,17,21,12
Boston Celtics,2018,0,0.598,112.4,42.1,34.7,4.3,53.0,49.5,8,6,28,4,20,29,20
Oklahoma City Thunder,2018,0,0.598,114.5,42.6,35.5,3.4,50.6,50.9,1,12,13,28,1,12,4
Indiana Pacers,2018,0,0.585,108.0,41.3,33.7,3.4,52.7,49.9,27,29,27,21,26,10,27
LA Clippers,2018,0,0.585,115.1,41.3,35.8,1.0,50.5,50.0,24,24,1,7,22,1,3
San Antonio Spurs,2018,0,0.585,111.7,42.3,35.5,1.6,51.6,50.1,17,26,20,1,27,28,30
Brooklyn Nets,2018,0,0.512,112.2,40.3,35.6,-0.1,49.2,50.1,14,5,6,24,9,9,8
Orlando Magic,2018,0,0.512,107.3,40.4,35.4,0.6,50.8,50.4,16,13,30,12,18,26,29
Detroit Pistons,2018,0,0.5,107.0,38.8,33.6,-0.3,48.2,50.9,18,10,19,23,5,13,5
Charlotte Hornets,2018,0,0.476,110.7,40.2,33.9,-1.3,48.6,49.5,13,11,9,6,19,2,28
Miami Heat,2018,0,0.476,105.7,39.6,35.1,-0.4,50.1,50.9,21,14,29,30,7,20,15
Sacramento Kings,2018,0,0.476,114.2,43.2,34.4,-1.2,49.5,48.7,2,15,21,27,10,14,10
Los Angeles Lakers,2018,0,0.451,111.8,42.6,36.4,-1.6,49.5,50.2,9,20,24,29,15,15,17
Minnesota Timberwolves,2018,0,0.439,112.5,41.6,33.5,-1.6,49.8,49.7,5,23,4,10,6,6,21
Dallas Mavericks,2018,0,0.402,108.9,38.8,35.2,-1.5,49.2,50.3,28,7,8,25,16,25,23
Memphis Grizzlies,2018,0,0.402,103.5,38.0,33.0,-2.4,49.0,48.4,30,27,16,15,29,18,7
New Orleans Pelicans,2018,0,0.402,115.4,43.7,36.2,-1.3,49.8,50.9,3,21,14,18,8,8,13
Washington Wizards,2018,0,0.39,114.0,42.1,32.7,-2.7,48.7,47.7,10,16,10,17,23,22,18
Atlanta Hawks,2018,0,0.354,113.3,41.4,34.5,-5.5,46.4,49.6,4,4,17,22,4,7,1
Chicago Bulls,2018,0,0.268,104.9,39.8,34.1,-8.3,45.3,48.3,22,30,25,11,30,3,22
Cleveland Cavaliers,2018,0,0.232,104.5,38.9,31.9,-10.0,43.6,49.6,23,22,22,8,12,4,25
Phoenix Suns,2018,0,0.232,107.5,40.1,31.3,-8.9,45.0,46.4,26,28,18,13,28,17,2
New York Knicks,2018,0,0.207,104.6,38.2,34.3,-8.9,44.2,48.6,19,25,11,19,13,5,16
Milwaukee Bucks,2019,0,0.767,118.7,43.3,42.2,9.4,56.2,52.4,4,3,14,27,24,22,24
Toronto Raptors,2019,0,0.736,112.8,40.2,35.9,6.1,53.0,49.6,23,4,12,6,25,5,9
Los Angeles Lakers,2019,1,0.732,113.4,42.3,35.1,5.6,53.9,51.2,20,23,17,28,6,30,17
LA Clippers,2019,0,0.681,116.3,41.6,37.0,6.3,53.2,51.5,14,13,1,8,7,18,5
Boston Celtics,2019,0,0.667,113.7,41.3,35.4,6.3,53.1,50.9,11,12,10,5,8,6,11
Denver Nuggets,2019,0,0.63,111.3,42.0,33.4,2.2,51.7,50.9,15,24,25,16,4,23,20
Indiana Pacers,2019,0,0.616,109.4,42.1,34.1,1.9,52.0,48.7,18,29,30,12,28,19,22
Houston Rockets,2019,0,0.611,117.8,40.8,34.5,2.7,49.4,48.0,8,1,2,9,20,14,7
Miami Heat,2019,0,0.603,112.0,39.5,35.9,2.7,52.5,51.2,30,6,5,13,29,26,18
Oklahoma City Thunder,2019,0,0.611,110.4,40.0,34.7,2.1,51.9,49.2,28,26,4,7,30,28,27
Utah Jazz,2019,0,0.611,111.3,40.1,35.8,2.5,51.3,51.2,29,7,16,14,26,20,19
Dallas Mavericks,2019,0,0.573,117.0,41.7,36.4,4.8,52.1,50.9,9,2,11,15,10,27,25
Philadelphia 76ers,2019,0,0.589,110.7,41.1,35.0,2.3,52.3,51.6,24,19,21,21,11,29,16
Brooklyn Nets,2019,0,0.486,111.8,40.4,37.3,-0.5,50.0,51.1,10,9,15,25,9,9,15
Portland Trail Blazers,2019,0,0.473,115.0,42.2,35.1,-1.1,48.6,49.2,3,10,18,3,16,15,10
Memphis Grizzlies,2019,0,0.466,112.6,42.5,36.2,-1.0,50.7,50.6,5,25,22,19,14,10,13
Phoenix Suns,2019,0,0.466,113.6,41.2,33.8,0.5,51.2,49.8,22,20,3,1,21,7,6
Orlando Magic,2019,0,0.452,107.3,39.3,34.2,-1.3,49.6,50.0,16,22,19,17,15,21,29
San Antonio Spurs,2019,0,0.451,114.1,42.2,35.6,-0.9,50.2,49.5,12,27,8,2,27,24,26
Sacramento Kings,2019,0,0.431,110.1,40.9,32.9,-1.9,47.9,49.2,19,11,27,18,23,25,3
New Orleans Pelicans,2019,0,0.417,115.8,42.6,35.4,-1.3,49.5,50.8,1,5,20,29,2,17,14
Washington Wizards,2019,0,0.347,114.4,41.5,31.9,-4.5,47.3,47.8,6,16,6,11,17,11,2
Charlotte Hornets,2019,0,0.354,102.9,37.3,31.8,-7.0,45.5,48.6,26,15,26,24,3,12,28
Chicago Bulls,2019,0,0.338,106.8,39.6,31.4,-3.1,46.6,48.1,17,14,28,22,12,3,8
New York Knicks,2019,0,0.318,105.8,40.0,34.5,-6.5,46.1,51.3,13,30,24,30,1,13,4
Atlanta Hawks,2019,0,0.299,111.8,40.6,33.4,-7.4,45.4,48.4,7,17,13,10,19,1,1
Detroit Pistons,2019,0,0.303,107.2,39.3,32.0,-3.5,47.3,49.3,27,18,23,26,22,4,23
Cleveland Cavaliers,2019,0,0.292,106.9,40.3,33.4,-7.9,45.3,51.2,25,21,29,20,5,2,30
Minnesota Timberwolves,2019,0,0.297,113.3,40.4,34.3,-4.0,47.2,48.8,2,8,7,23,13,8,12
Golden State Warriors,2019,0,0.231,106.3,38.6,32.9,-8.6,46.2,48.1,21,28,9,4,18,16,21
Utah Jazz,2020,0,0.722,116.4,41.3,37.6,9.0,54.2,52.9,18,1,11,8,3,28,23
Phoenix Suns,2020,0,0.708,115.3,43.3,34.2,5.9,53.4,50.0,16,12,28,2,28,30,15
Philadelphia 76ers,2020,0,0.681,113.6,41.4,35.0,5.5,53.6,51.1,24,23,3,20,13,18,8
Brooklyn Nets,2020,0,0.667,118.6,43.1,35.5,4.2,53.2,50.3,21,7,5,6,27,20,18
Denver Nuggets,2020,0,0.653,115.1,43.3,33.9,4.8,52.5,52.2,8,14,27,7,8,23,16
LA Clippers,2020,0,0.653,114.0,41.8,34.7,6.1,53.0,51.8,25,6,23,1,20,26,14
Milwaukee Bucks,2020,1,0.639,120.1,44.7,37.8,5.8,53.3,51.9,1,5,24,23,12,15,29
Dallas Mavericks,2020,0,0.583,112.4,41.1,34.2,2.3,51.0,49.6,22,8,17,15,25,29,11
Los Angeles Lakers,2020,0,0.583,109.5,40.6,34.6,2.9,51.7,51.1,27,25,12,28,15,24,17
Portland Trail Blazers,2020,0,0.583,116.1,41.3,33.9,1.8,49.3,49.5,4,2,6,3,4,21,19
Atlanta Hawks,2020,0,0.569,113.7,40.8,35.1,2.2,51.1,51.6,23,17,2,5,5,14,13
New York Knicks,2020,0,0.569,107.0,39.4,35.5,2.4,50.2,50.5,26,21,19,14,16,6,5
Miami Heat,2020,0,0.556,108.1,39.2,33.5,-0.1,50.9,49.1,30,15,13,12,29,27,20
Golden State Warriors,2020,0,0.542,113.7,41.3,35.1,1.1,51.0,48.0,17,3,15,13,30,25,2
Memphis Grizzlies,2020,0,0.528,113.3,42.8,35.3,1.2,51.1,50.7,2,24,20,18,2,11,22
Boston Celtics,2020,0,0.5,112.6,41.5,33.6,1.2,50.1,51.0,11,11,25,16,6,22,7
